Id,Job Title,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role
18946,Relationship Manager,0 - 3 yrs,CRM| Financial planning| Marketing operations| Marketing management| financial products| Client relationship| Investment advisory| Research| Sales| Compliance,Back Office/Web/Transaction Processing,Washington DC,"ITES , BPO , KPO , LPO , Customer Service , Operations","Education, Teaching, Training",Assistant Manager/Manager-(NonTechnical)
18947,Relationship Manager Wealth For Bank in South Carolina,3 - 8 yrs,retail banking| hni| retail liabilities| relationship management| new business| mf| savings accounts| banking products| li| Wealth Manager| Branch Banking| communication skills,Retail Sales,Washington DC,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Sales/Business Development Manager
18948,Jr. Marketing Executive (Male)/Salary-Upto 10000/-p.m,1 - 3 yrs,marketing executive| distributors| customer profiling| sales strategy| market research| Business Development| sales executive| Marketing,Marketing,Washington DC,"Marketing , Advertising , MR , PR , Media Planning","Courier, Transportation, Freight , Warehousing",Direct Marketing Executive
18949,JAVA Developer,2 - 5 yrs,Business process| Core Java| Team leading| Operational risk| Banking| Agile| Workflow| Pega| Downstream,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer
18950,Software/ Sr. Software Engineer (.net) - Arizona Based,2 - 4 yrs,C#| Oracle SQL| Software Engineering| Web Technologies| ASP.Net| .Net| JQuery,Programming & Design,Washington DC,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Software Developer
18952,Urgently Required Account Assistant,1 - 2 yrs,daily accounting| tally| ms office| bcom| salary| accounting entries| Documentation,Accounts,Washington DC,"Accounts , Finance , Tax , Company Secretary , Audit","Education, Teaching, Training",Accounts Executive/Accountant
18953,Project Coordinator,1 - 4 yrs,project operations| client coordination| verbal communication| requirement analysis| project coordination| project planning| communication skills| client communication,Project Management,Washington DC,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Project Manager-IT/Software
18954,iPhone app developer,1 - 5 yrs,Computer science| GIT| Performance management| XML| Project management| Debugging| Developer| Data structures| JSON| SCM,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
18955,"Business Development Executive/manager-yohyoh Media Square,hitech City",1 - 4 yrs,online marketing| Sales| Product Marketing| Digital Sales| Digital Marketing| Business Development| Sales Specialist,Retail Sales,Washington DC,"Sales , Retail , Business Development","Media, Entertainment, Internet",Sales/Business Development Manager
18956,Accounts & Finance Manager,8 - 12 Years,payroll|taxation|erp|reconciliation|gst SAP|oracle erp,Accounts,Washington DC,"Accounts , Finance , Tax , Company Secretary , Audit",Other,Accounts Manager
18957,Sr. Website Designer,2 - 7 yrs,Corel Draw| jQuery| Web designing| Javascript| html5| Photoshop| Conceptualization| CSSFocus,Senior Management,Washington DC,"Sales , Retail , Business Development","Media, Entertainment, Internet",Head/VP/GM/National Manager -Sales
18958,Airport Representative,0 - 4 yrs,Ground Staff Activities| Reservation| Airport| Cabin Crew Activities| Air Ticketing,Other,Washington DC,"Travel , Tours , Ticketing , Airlines","Aviation, Aerospace, Aeronautical",Fresher
18959,We are Hiring for Security Engineer- Microsoft 365,3 - 4 yrs,security compliance| identity management| Compliance| Migration| microsoft azure| Security| office 365| security engineer,Admin/Maintenance/Security/Datawarehousing,Washington DC,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",System Security
18961,Senior Unit Manager - IT,4 - 8 yrs,Android| Project management| Server architecture| mobile architecture| Delivery management| Server management| Vendor| html5| IOS,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",Software Developer
18962,Machine Operator - Production Management,5 - 10 yrs,Production Management| Production Planning| Production Engineering| Machine Operator,Production/Manufacturing/Maintenance,Washington DC,"Production , Manufacturing , Maintenance","Construction, Engineering, Cement, Metals",Workman/Foreman/Technician
18963,Manager / Engineers / Technicians,2 - 7 yrs,Mechanical| Metallurgy,Production/Manufacturing/Maintenance,Washington DC,"Production , Manufacturing , Maintenance","Recruitment, Staffing",Engineering Manager
18964,Cloud Product - Full Stack (react With Node JS) -zen3- Hyd / Vizag,1 - 6 Years,C#|react.js|Node.Js,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer
18965,Technical Lead - PHP,3 - 8 yrs,assembly language| Six Sigma| PMP| C| JavaScript| .NET| HTML| Oracle|Python| SQL,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead
18966,Merchant Exports Manager - Chemical / Oil & Gas Industry - Ahmedabad,2 - 7 yrs,prime| international sales| exports marketing| export sales| internet marketing| marketing| oil| chemical| international marketing| gas| satellite| international| export,Marketing,Washington DC,"Marketing , Advertising , MR , PR , Media Planning","Chemicals, PetroChemical, Plastic, Rubber",International Marketing Manager
18967,Physical Training Instructor,1 - 5 yrs,physical education| games| sports| teaching,Life skills / ECA Teachers,Washington DC,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Sports / Physical Education Teacher
18968,Project Manager,6 - 10 yrs,coding| jcl| cobol| db2| cics| mca| pm| mba| vsam| email,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
18969,Business Development Executive,0 - 4 yrs,marketing| sales| buisness development,Corporate Sales,Washington DC,"Sales , Retail , Business Development","Recruitment, Staffing",Sales Executive/Officer
18970,Marketing Executive (Medical Devices),2 - 6 yrs,Medical devices| Sales| Pharma| Pharmacy| Marketing Executive,Retail Sales,Washington DC,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer
18971,Visualiser,1 - 3 yrs,vray| interior designing| 3d studio max| design| visualiser| Indesign| photoshop,Creative,Washington DC,"Design , Creative , User Experience","Architecture, Interior Design",Visualiser
18972,Nodejs and Ionic Web Ninja in an Established and Invested Startup,3 - 6 yrs,Backend| Ionic Framework| Node.Js| API| Operations| Devops,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
18973,Senior UI Developer,7 - 12 yrs,ui development| User Interface Designing| HTML| bootstrap| html 5| javascript| Illustrator| xml| web development| web designing| Photoshop| project planning| css3,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
18974,We have Urgent Opening For Finishing Manager,1 - 6 yrs,Design| Life Cycle| Structural| Interior Works,Site Engineering,Washington DC,"Site Engineering , Project Management","Real Estate, Property",Construction-Residential
18975,Immigration Consultant/ Client Relationship Manager (only Females),1 - 3 yrs,counselling| Communication Skills| consultant| Counselor| Client Relationship Management| visa| Immigration| sales| Client Handling,Other,Washington DC,"Travel , Tours , Ticketing , Airlines","Travel , Hotels , Restaurants , Airlines , Railways",Outside Consultant
18976,L1 Support Engineer-bangalore,1 - 3 Years,sql|night shift|L1 Support Engineer|Application Support|Technical Support|DB support,Voice,Washington DC,"ITES , BPO , KPO , LPO , Customer Service , Operations",IT-Software / Software Services,Associate/Senior Associate -(Technical)
18977,B2B Sales Manager,10 - 20 yrs,B2B Sales| Sales Management| Corporate Sales| corporate marketing,Corporate Sales,Washington DC,"Sales , Retail , Business Development",Food Processing,Sales/Business Development Manager
18979,Immediate job Opening For Sales-goa For the Leading Manufacturing,0 - 3 yrs,Sales Engineering| Field Sales,Retail Sales,Washington DC,"Sales , Retail , Business Development","Electricals, Switchgears",Sales Executive/Officer
18980,Executives,2 - 5 yrs,co ordination| documents| geography| documentation| statutory| registration| customers| finalisation| forms,Retail Sales,Washington DC,"Sales , Retail , Business Development","Electricals, Switchgears",Sales Executive/Officer
18981,Staff Product Developer – India,5 - 8 Years,software debugging|Java|Database management|product development|Node JS|Angular 2.0|vulnerability management,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer
18982,Telecom Testing,3 - 8 yrs,VOIP| Cisco| CTI| Amdocs| Automation Test Lead| SS7 signalling| Telecom testing| Test Architect,Programming & Design,Washington DC,IT Software - QA & Testing,"Aviation, Aerospace, Aeronautical",Testing Engineer
18983,Visteon!! Excellent Opportunity For Technology Architect- Boot Storage,8 - 12 yrs,C++| C| Software Architecture| Nand| Android| Software Development| Linux| UML| QNX| Bsp,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","Automobile, Auto Anciliary, Auto Components",Technical Architect
18984,Medical Representative,2 - 7 yrs,marketing| functional| product management| critical care| company| sales marketing| sales| communication skills,Retail Sales,Washington DC,"Sales , Retail , Business Development","Recruitment, Staffing",Medical Representative
18985,Team Leader - Email / Chat Process Bank in Arizona,5 - 10 yrs,Root Cause Analysis| Team Handling| Customer Relationship| Quality Monitoring| Relationship Management| Team Leading| Quality Management| Customer Satisfaction| Senior Management| Chat Process,Back Office/Web/Transaction Processing,Washington DC,"ITES , BPO , KPO , LPO , Customer Service , Operations","Banking, Financial Services, Broking",Team Leader -(NonTechnical)
18986,Join International Inbound Tech Process With Excellent Package,0 - 1 yrs,Outbound| Medical| Technical support| Technical Support Associate| Email| Technical| US shift| Antivirus| Troubleshooting| Comp,Voice,Washington DC,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
18987,"Professor , Associate , Assistant",1 - 5 yrs,Professor| Dermatology| PSM| Radio,University Level,Washington DC,"Teaching , Education , Training , Counselling","Recruitment, Staffing",Lecturer/Professor
18988,UI/UX Designer Developer,3 - 8 yrs,Jenkins| Java| CSS| UX| Linux| Github| Javascript| HTML,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
18989,Deputy Manager,5 - 10 yrs,RCA| Action plan| Investigation| Customer service| Business strategy| Customer complaints| Vendor| Operations| Monitoring| Auditing,Voice,Washington DC,"ITES , BPO , KPO , LPO , Customer Service , Operations","Banking, Financial Services, Broking",Associate/Senior Associate -(Technical)
18991,Tele Sales Executive / Inside Sales Executive,0 - 3 yrs,new business| verbal communication| Inside Sales| marketing| sales executive activities| Sales| telesales| executive management| Telecalling| outbound sales| student counseling| telemarketing| communication skills,Sales Support,Washington DC,"Sales , Retail , Business Development","IT-Software, Software Services",Telesales/Telemarketing Executive/Officer
18992,UI Developer,3 - 6 yrs,design| c++| C| MySQL| JavaScript| HTML,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer
18993,C12 - AVP - CRS,10 - 15 yrs,SAS| Consulting| Data mining| Relationship management| Operations research| Analytical| Operations| Computer science| Resourcing| Organizational development,Voice,Washington DC,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
18994,Java Developer,4 - 6 yrs,Performance testing| Web services| spring boot| J2Ee| Automation testing| development testing| Design development| jenkins| AWS| Deployment,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
18995,Lead Generation Role with Leading Company Into Operations Management,3 - 8 yrs,Operations Management| Lead Generation| business development| bdm| business development executive,Operations,Washington DC,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Business Development Manager
18997,Staff SQA Engineer,5 - 8 Years,Oracle SQL|Networking|Test Strategy|SQL|QA|Performance Testing|Automation Framework|Automation Testing|Test Scenarios|Selenium|Postgres|Oracle|Test Cases,Programming & Design,Washington DC,IT Software - QA & Testing,IT-Software / Software Services,Testing Engineer
18998,Inside Sales Specialist or Call Center Executive,1 - 3 Years,Lead Generation|Telesales|inbound|outbound|Cold Calling|Digital Campaigns|Inside Sales|Presales|Strategy|Business Development|Call Center,Voice,Washington DC,"ITES , BPO , KPO , LPO , Customer Service , Operations",Internet / Ecommerce,Telecalling/Telemarketing Executive
18999,Credit Officer,1 - 3 yrs,Housing finance| Management| Data entry,Retail/Personal Banking,Washington DC,"Financial Services , Banking , Investments , Insurance","Banking, Financial Services, Broking",Credit Officer
19000,Software Developer,2 - 5 yrs,PDF| Debugging| MVC| Software testing| Translation| Web technologies| java| level| developer| Business Executive,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
19002,PHP DEVELOPER,1 - 6 yrs,Wordpress| Javascript| PHP| jQuery| Coding| Unit testing| Open source| Ajax| CSS3,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
19003,Audit Executive,0 - 2 yrs,Medical| Hospital| Emergency,Other,Washington DC,"Accounts , Finance , Tax , Company Secretary , Audit","Medical, Healthcare, Hospitals",Fresher
19005,SQL Server MSBI Developer,3 - 5 yrs,sql server developer| ssrs| sql developer| ssis| oltp| database developer| sql server| msbi| stored procedures| database development,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
19006,Technical Design Manager - Informatica,2 - 4 yrs,Windows| Oracle| SQL| Product management| MS SQL| RDBMS| Workflow| Informatica| JIRA| Unix shell scripting,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","Education, Teaching, Training",Software Developer
19008,Product Development Head,3 - 8 yrs,Product Development Manager| Head Business Development| HTML| Javascript| Interaction design| Visual Design| Front end| Coding| Android| Business Executive| Product Development Head,R&D,Washington DC,"Engineering Design , R&D","IT-Software, Software Services",Product Development Manager
19009,Product Trainer For Ample Technologies - Bangalore,2 - 5 yrs,Retail| Soft Skills| Presentation Skills| Training Needs| Case Studies| Sales Training| Product Training,Sales Support,Washington DC,"Sales , Retail , Business Development","Retail, Wholesale",Sales Trainer
19010,Clinical SAS Programmer,5 - 10 yrs,Computer science| Biostatistics| Statistical analysis| SAS| Time management| Standard operating procedures| Protocol development| Programming| Clinical research| Mathematics,R&D,Washington DC,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Education, Teaching, Training",Bio-Statistician
19011,HR Recruiter (only Female),1 - 2 yrs,recruitment| screening| interview coordination| hr| interviewing| Non IT Recruitment| Non IT Recruiter,HR/ Recruitment / IR,Washington DC,"HR , Recruitment , Administration , IR","Accounting, Finance",Recruitment Executive
19012,Area Sales Manager - 100% lead,1 - 5 yrs,Team Handling| B2C Sales| loans| Finance| Direct Sales| Channel Sales| bdm| B2B Sales| FMCG| distribution| sales| sales executive| life insurance| banking| marketing| bfsi| Insurance| Field Work| RM,Retail Sales,Washington DC,"Sales , Retail , Business Development",Insurance,Sales/Business Development Manager
19013,Obstetrics and Gynecology Nursing- Professor,10 - 15 yrs,Counselor| Mentor| Trainer| Lecturer| Teaching,University Level,Washington DC,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Lecturer/Professor
19014,CTO - Ecommerce - Startup - IIT/ NIT,7 - 12 yrs,Java| Front End| Open Source| Javascript| PHP| HTML| JQuery| IOS| Android| SQL,Senior Management,Washington DC,"IT Software - eCommerce , Internet Technologies","Internet, Ecommerce",Head/VP/GM-Technology(IT)/CTO
19015,Asp.net Developer,0 - 2 yrs,Software Development| Unit Testing| Test Data| ASP.Net,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
19016,Assistant Manager - Sales & Marketing ( Nvocc/ Freight Forwarding ),3 - 6 yrs,Freight Forwarding| NVOCC| Sales Management| Marketing,Retail Sales,Washington DC,"Sales , Retail , Business Development","Shipping, Marine",Sales/Business Development Manager
19017,Hiring for Bpo(telugu/tamil/malayalam/kannada/hindi)day Shift Calsingh,0 - 2 yrs,english| hindi| tamil| kannada| telugu| night shift| customer support| customer care| customer service| customer care executive| domestic bpo| international call center| domestic voice process| fresher| undergraduate| bpo| Telecom| Telecalling| outbound| inbound,Voice,Washington DC,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(Technical)
19018,ATG Developer,5 - 10 yrs,Order management| Content management| XML| JSP| Consulting| Workflow| HTML| EJB| Information technology| SQL,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer
19019,Arizona: Office Assistant / Back Office Executive (mulund),0 - 0 yrs,MSCIT| back office| Office Management| executive| office assistant| computer operator| Fresher| admin executive| data entry,Other,Washington DC,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Fresher
19020,Sr.Civil Engineer,5 - 10 yrs,Civil,Site Engineering,Washington DC,"Site Engineering , Project Management","Construction, Engineering, Cement, Metals",Construction-General Building
19021,Obstetrics and Gynecology Nursing- Associate Professor,8 - 10 yrs,Counselor| Mentor| Trainer| Lecturer| Teaching,University Level,Washington DC,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Assistant Professor
19022,Show Host,2 - 7 yrs,Analytical skills| Research| Cam| Cooking| Radio| Business Executive,Retail Sales,Washington DC,"Sales , Retail , Business Development","Retail, Wholesale",Sales Executive/Officer
19023,"Eidiko Systems - Job Opening for Pega Developer( Hyd,bang,chennai)",2 - 7 yrs,Pega,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
19024,P L Head,15 - 20 yrs,Product promotion| Pharma| Business strategy| Formulation| Team development| Deployment| Budgeting| Inventory| Salesforce,Senior Management,Washington DC,"Sales , Retail , Business Development","Medical, Healthcare, Hospitals",Head/VP/GM/National Manager -Sales
19025,TIBCO Administrator,3 - 6 yrs,tibco| Software Testing,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
19026,Associate - Retail Sales - Apparel,1 - 5 yrs,Sales| Retail Sales| Cross Selling| Up Selling| Visual Merchandising| Marketing Initiatives| General Administration| Stock Management| Store Management| Market Intelligence| Back Office,Retail Sales,Washington DC,"Sales , Retail , Business Development","Retail, Wholesale",Sales Executive/Officer
19027,Spanish Language Expert,0 - 2 yrs,Spanish Translator| Spanish Language Expert| Spanish,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
19028,SDN / NFV Engineer,5 - 10 yrs,cloud| Openstack| POC| Virtualization| E2E testing| Networking,Programming & Design,Washington DC,"IT Software - Network Administration , Security","IT-Software, Software Services",Testing Engineer
19030,Consultant CRM,1 - 5 yrs,Consultant CRM - New Jersey,System Design/Implementation/ERP/CRM,Washington DC,"IT Software - ERP , CRM","IT-Software, Software Services",Functional Outside Consultant
19031,Talent Acquisition,0 - 4 yrs,BPO| Recruitment Executive| Talent acquisition| UPS| ITES| Lateral hiring| Recruitment,HR/ Recruitment / IR,Washington DC,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Manager
19032,Sales Manager - Real Estate (western Suburbs),1 - 4 yrs,Channel Sales| Marketing Initiatives| Market Analysis| Direct Sales| Competitor Analysis| Channel Partners| Cold Calling| Sales Promotion| Market Research| Sales Management,Retail Sales,Washington DC,"Sales , Retail , Business Development","Real Estate, Property",Area Sales Manager
19033,Handicraft Designer-home Textiles-export House-60k-Florida,8 - 10 yrs,nedgraphics| textile designing| designer| export house| handicraft,Designer,Washington DC,"Fashion Designing , Merchandising","Export, Import",Textile Designer
19034,Python Developer,3 - 7 yrs,assembly language| C| JavaScript| .NET| HTML| Oracle|Python| SQL,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","Retail, Wholesale",Software Developer
19035,Android Developer For a UK gaming company,2 - 7 yrs,Telecom| C++| Coding| SQLite| Android SDK| Gaming| Information technology| Software solutions| Android| Recruitment,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer
19036,Microfinance Officer,0 - 4 yrs,Loans| Payroll| Sales| Microfinance,Retail/Personal Banking,Washington DC,"Financial Services , Banking , Investments , Insurance","Recruitment, Staffing",National Head
19038,Hiring Sr. Sales Manager | Six Sigma Certified | Bangalore,4 - 9 yrs,six sigma| operations| Sales| business development| Sales Management| sales marketing,Retail Sales,Washington DC,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Sales/Business Development Manager
19039,Video Editor,2 - 5 yrs,final cut pro| video editing| design| E - learning,Creative,Washington DC,"Design , Creative , User Experience","Education, Teaching, Training",Animation Designer
19040,Recruiter/Admin/EA,2 - 5 yrs,IT services| Administration management| HR administration| Administration| Excel| Head hunting| Data analytics| Management| SQL| Recruitment,HR/ Recruitment / IR,Washington DC,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Recruitment Executive
19041,IT Recruiter / Sr IT Recruiter,1 - 3 yrs,Screening| Communication Skills| Go Getter| Contract Staffing| IT Staffing| Life Cycle| IT Recruitment| Written Communication| Searching| Social Media| Sourcing,HR/ Recruitment / IR,Washington DC,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Recruitment Executive
19042,SAP HANA Architect,5 - 10 yrs,Sql| Business Objects| Data Modeling| High Level Design| Sap Hana| Sap Bw| Predictive Analytics| Big Data| Data Services| Deployment,Programming & Design,Washington DC,"IT Software - ERP , CRM","Recruitment, Staffing",Technical Architect
19043,Product Control,9 - 14 yrs,spreadsheets| valuation| process development| cpa| back office| front office operations| analytical ability| reconciliation| product control| general ledger,Back Office/Web/Transaction Processing,Washington DC,"ITES , BPO , KPO , LPO , Customer Service , Operations","Recruitment, Staffing",Assistant Manager/Manager-(NonTechnical)
19044,Network Security Service Domain Business Analyst,10 - 12 yrs,Excel| cyber security| Information security| Analytical| Network security| Security services| Cost benefit analysis| Information technology| Business operations,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","Education, Teaching, Training",Software Developer
19045,Marketing Manager,4 - 8 yrs,lead generation| inbound marketing| social networking| marketing management| social media| marketing automation,Marketing,Washington DC,"Marketing , Advertising , MR , PR , Media Planning","Education, Teaching, Training",Product/Brand Manager
19046,Join International BPO(Inbound Tech Support,0 - 1 yrs,Outbound| Night shift| Technical support| English| process| Inbound calls| Domestic BPO| employee referral| US shift| International BPO,Voice,Washington DC,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
19047,Administrative Officer,2 - 3 yrs,Administration| Administrative Support| Office Procedures,Administration/Facility Management,Washington DC,"HR , Recruitment , Administration , IR","FMCG, Foods, Beverage",Executive/ Sr Executive - Administration
19048,Sr Java Developer - Pl-sql/spring/hibernate,8 - 12 yrs,Java| Maven| Hibernate| JBoss| Ant| Richfaces| Spring Framework| Seam| JSF| PL,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
19049,Senior Test Analyst/associate Test Lead/test Lead,3 - 8 yrs,Defect Management| Core Banking| User Stories| Test Analysis| Test Lead| Manual Testing| Test Cases| STLC| SDLC| SQL,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Testing Engineer
19050,Senior Manager - Finance & Accounts (real Estate),7 - 10 yrs,Accounting| Finance| Budgeting| Auditing| Forecasting| MIS| Financial Management| Variance Analysis| Statutory Audit| Business Planning,Accounts,Washington DC,"Accounts , Finance , Tax , Company Secretary , Audit","Real Estate, Property",Accounts Manager
19051,J2EE Practice Lead,2 - 5 yrs,J2Ee| PAAS| Ajax| Web technologies| SAAS| Practice Lead| Senior Analyst| Business Executive| Entrepreneur| UI,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead
19052,Vice President - Finance - Ca/cpa/iim/mdi/isb/fms,12 - 15 yrs,Accounting| CPA| Financial Planning| Financial Modeling| CA| Financial Operations| Chief Financial Officer,Senior Management,Washington DC,"Accounts , Finance , Tax , Company Secretary , Audit","Accounting, Finance",Head/VP/GM-Finance/Audit
19053,Urdu- TGT,3 - 5 yrs,Counselor| Mentor| Trainer| Advisor| Teaching,Teachers,Washington DC,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Class Teacher / Classroom coordinator
19054,C++ Software Engineer,5 - 10 yrs,Technical documentation| C++| Oracle| PHP| HTML| MySQL| Ajax| Windows| Multithreading| Agile,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
19055,Sales Executive Retail Sales,1 - 5 yrs,Retail sales| Retail Executive| Sales Executive| Monitoring| PHP| HTML| Advertising management| Sales,Retail Sales,Washington DC,"Sales , Retail , Business Development","Real Estate, Property",Sales Executive/Officer
19057,Marketing Executive - Bangalore (wire),2 - 5 yrs,promotions| sales executive activities| Channel sales| Sales Executive| sales marketing| Marketing Executive| corporate sales,Retail Sales,Washington DC,"Sales , Retail , Business Development","Industrial Products, Heavy Machinery",Sales Executive/Officer
19058,Content Writer,2 - 5 yrs,E-commerce,Content Development,Washington DC,"Journalism , Editing , Content","Recruitment, Staffing",Content Developer
19059,Marketing & Sales Executive /field Sale- Call asap - Sal 5 lpa,0 - 5 yrs,manager| freshers| marketing management| public relations| sales executive| sales| demand generation| sales management| marketing| sales executive activities| marketing executive| atl| competition mapping| btl,Retail Sales,Washington DC,"Sales , Retail , Business Development","Education, Teaching, Training",Sales/Business Development Manager
19060,Urgently Required Medical Officer-mbbs,0 - 2 yrs,medical| Claims Processing| healthcare,Medical Professional,Washington DC,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Medical Officer
19061,Id:3167 #applied# Hiring for .Net Engineer/sr.engineer/lead Engineer,2 - 7 Years,C#|ASP.Net|MVC|HTML|CSS|Javascript|T - SQL|OOPS|WCF|SQL|TFS,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance",Insurance,Software Developer
19062,Sr. R&D Chemist,4 - 8 yrs,HPLC| Housekeeping| Wordpress| Staff management| Manager Technology| Literature| Testing| Chemistry,R&D,Washington DC,"Engineering Design , R&D","Construction, Engineering, Cement, Metals",R&D Executive
19063,Automation Engineer,1 - 3 yrs,PLC| Servo Motors| Automation Engineering| Design Calculations| Electricals| Maintenance,Engineering Design,Washington DC,"Engineering Design , R&D","Automobile, Auto Anciliary, Auto Components",Design Engineer
19064,Night Shift Tech Sales job in Adeeba -US Shift,4 - 8 yrs,Outbound| Technical support| Night shift| English| Domestic BPO| Antivirus| Troubleshooting| Recruitment| Comp,Voice,Washington DC,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
19065,Junior Accountant,3 - 4 yrs,accountant,Accounts,Washington DC,"Accounts , Finance , Tax , Company Secretary , Audit","FMCG, Foods, Beverage",Accounts Executive/Accountant
19066,Technical Lead,3 - 6 yrs,Hibernate| Web services| Technical Lead| Spring,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead
19067,English Language Trainer,2 - 7 yrs,Tutor| Usage| French| Payment processing| Literature| Networking| TOEFL| Focus| Research| Teaching,Training,Washington DC,"ITES , BPO , KPO , LPO , Customer Service , Operations","FMCG, Foods, Beverage",Soft Skills Trainer
19068,HR Manager(gujrat Location),7 - 12 yrs,HR Generalist Activities| Internal Auditor| HR| Manpower Handling| Recruitment,HR/ Recruitment / IR,Washington DC,"HR , Recruitment , Administration , IR","Automobile, Auto Anciliary, Auto Components",HR Manager
19070,Hardware and Network Engineer (only For Males),0 - 5 yrs,Network Engineering| Hardware Networking| OSI| Routing| VLAN| IT Hardware| Switching| STP| SQL| VTP| .Net| PHP| Network Administration,IT Hardware,Washington DC,"IT Hardware , Technical Support , Telecom Engineering",IT-Hardware & Networking,Network Administrator
19072,Principal Engineer,13 - 17 yrs,C++| Troubleshooting| Firmware| Embedded software| Product management| Software quality assurance| System testing| Social media| Computer science| Analytical,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","Textiles, Garments, Accessories",Software Developer
19073,Grab Opportunity For English and Hindi For Voice Process,0 - 3 yrs,bpo| voice process| Gujarati| hiring| english| Marathi| Customer Support Executive| Hindi| customer support,Voice,Washington DC,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
